#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-02-23T02:33:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c70b0b610081	
#INFO	-out.max=1000	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/ApJ/757/18&tab:{J/ApJ/757/18/table2}&key:source=J/ApJ/757/18/table2&HTTPPRM:&&-ref=VIZ5c70b0b610081&-out.src=J/ApJ/757/18/table2&-out=Name&-out=BJD&-out=RVel&-out=f_RVel&-out=e_RVel&-out=Inst&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-order=I&-oc.form=sexa&-out.max=1000&-out.form=HTML Table&undefined=CDS, France&
#-source=J/ApJ/757/18/table2
#-order=I
#-out=Name
#-out=BJD
#-out=RVel
#-out=f_RVel
#-out=e_RVel
#-out=Inst
#

#RESOURCE=yCat_17570018
#Name: J/ApJ/757/18
#Title: Radial velocities for 16 hot Jupiter host stars (Albrecht+, 2012)
#Table	J_ApJ_757_18_table2:
#Name: J/ApJ/757/18/table2
#Title: Relative radial velocity measurements
#Column	Name	(A9)	System name	[ucd=meta.id;pos.frame]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RVel	(F8.2)	[-1660.3/1209.9] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	f_RVel	(A1)	[*] Flag on RVel (1)	[ucd=meta.code]
#Column	e_RVel	(F6.2)	[-40.9/23.1] Internally estimated uncertainty in RVel (2)	[ucd=stat.error;spect.dopplerVeloc]
#Column	Inst	(A5)	Spectrograph used in observation (3)	[ucd=meta.id;instr]
# ;d;m/s; ;m/s;
name;bjd;rv;f_RVel;e_rv;inst
WASP-12;2455928.83486;118.27;;2.27;HIRES
WASP-12;2455928.84111;107.49;;2.14;HIRES
WASP-12;2455928.84723;111.18;;2.01;HIRES
WASP-12;2455928.85330;89.44;;2.10;HIRES
WASP-12;2455928.85915;89.77;;2.29;HIRES
WASP-12;2455928.86499;78.58;;2.27;HIRES
WASP-12;2455928.87074;90.43;;2.34;HIRES
WASP-12;2455928.87658;78.93;;2.18;HIRES
WASP-12;2455928.88231;67.10;;2.16;HIRES
WASP-12;2455928.88815;59.13;;2.13;HIRES
WASP-12;2455928.89384;58.50;;2.25;HIRES
WASP-12;2455928.89964;39.06;;2.14;HIRES
WASP-12;2455928.90566;39.31;;2.09;HIRES
WASP-12;2455928.91223;32.71;;2.26;HIRES
WASP-12;2455928.91856;20.72;;2.23;HIRES
WASP-12;2455928.92449;5.93;;2.24;HIRES
WASP-12;2455928.93043;-0.54;;2.03;HIRES
WASP-12;2455928.93612;-2.17;;2.20;HIRES
WASP-12;2455928.94171;-24.69;;2.12;HIRES
WASP-12;2455928.94739;-14.93;;2.09;HIRES
WASP-12;2455928.95306;-23.61;;2.41;HIRES
WASP-12;2455928.95871;-35.29;;2.16;HIRES
WASP-12;2455928.96435;-40.71;;2.08;HIRES
WASP-12;2455928.96988;-40.64;;2.27;HIRES
WASP-12;2455928.97556;-44.43;;2.10;HIRES
WASP-12;2455928.98115;-47.56;;2.20;HIRES
WASP-12;2455928.98681;-50.90;;2.08;HIRES
WASP-12;2455928.99257;-55.65;;2.28;HIRES
WASP-12;2455928.99857;-66.14;;2.20;HIRES
WASP-12;2455929.00492;-77.73;;2.24;HIRES
WASP-12;2455929.01118;-78.05;;2.39;HIRES
WASP-12;2455929.01810;-96.20;;2.32;HIRES
WASP-12;2455929.02487;-94.38;;2.38;HIRES
WASP-16;2455351.56915;71.81;;6.00;PFS
WASP-16;2455351.57347;65.18;;6.95;PFS
WASP-16;2455351.57794;51.67;;6.52;PFS
WASP-16;2455351.58235;57.25;;6.67;PFS
WASP-16;2455351.58676;71.91;;6.25;PFS
WASP-16;2455351.59112;37.26;;5.70;PFS
WASP-16;2455351.59548;54.59;;6.02;PFS
WASP-16;2455351.59984;34.87;;6.58;PFS
WASP-16;2455351.60428;22.19;;7.24;PFS
WASP-16;2455351.60878;10.18;;5.78;PFS
WASP-16;2455351.61323;1.47;;6.34;PFS
WASP-16;2455351.61754;8.12;;5.73;PFS
WASP-16;2455351.62201;0.00;;5.77;PFS
WASP-16;2455351.62636;11.70;;6.36;PFS
WASP-16;2455351.63077;18.82;;5.58;PFS
WASP-16;2455351.63516;5.49;;5.73;PFS
WASP-16;2455351.63962;10.74;;5.93;PFS
WASP-16;2455351.64401;15.05;;6.56;PFS
WASP-16;2455351.64840;5.42;;6.13;PFS
WASP-16;2455351.65278;-26.83;;6.34;PFS
WASP-16;2455351.65719;8.87;;6.33;PFS
WASP-16;2455351.66161;-13.67;;5.96;PFS
WASP-16;2455351.66599;-25.06;;6.98;PFS
WASP-16;2455351.67045;-17.33;;7.84;PFS
WASP-16;2455351.67484;3.81;;7.45;PFS
WASP-16;2455351.67927;-23.43;;6.81;PFS
WASP-16;2455351.68361;-26.11;;7.70;PFS
WASP-16;2455351.68803;-9.40;;10.68;PFS
WASP-16;2455351.69244;-5.56;;8.77;PFS
WASP-16;2455351.69697;-36.36;;6.30;PFS
WASP-16;2455351.70118;-27.54;;6.41;PFS
WASP-16;2455351.73040;-51.38;*;8.45;PFS
WASP-16;2455351.73471;-55.66;*;10.80;PFS
WASP-16;2455351.73913;-60.00;*;9.42;PFS
WASP-16;2455351.74356;-54.99;*;9.57;PFS
WASP-16;2455351.74794;-86.93;*;12.10;PFS
WASP-16;2455351.75234;-56.34;*;11.52;PFS
WASP-16;2455351.75668;-83.91;*;16.49;PFS
WASP-16;2455351.76123;-87.82;*;17.16;PFS
WASP-16;2455351.76551;-103.37;*;15.74;PFS
WASP-16;2455425.47802;118.22;*;6.81;PFS
WASP-16;2455426.50112;-20.77;*;5.93;PFS
WASP-16;2455427.48420;-104.65;*;5.84;PFS
WASP-16;2455428.48187;113.28;*;6.60;PFS
WASP-16;2455429.49411;15.08;*;5.90;PFS
WASP-16;2455430.48842;-104.35;*;5.39;PFS
WASP-16;2455435.48984;78.45;*;6.24;PFS
WASP-16;2455436.47468;-116.32;*;5.63;PFS
WASP-16;2455436.55123;-136.09;*;7.09;PFS
WASP-16;2455439.47288;-107.39;*;6.08;PFS
WASP-18;2455843.50927;1209.83;;9.15;PFS
WASP-18;2455843.51327;1159.97;;7.80;PFS
WASP-18;2455843.51827;1110.54;;8.75;PFS
WASP-18;2455843.52227;1060.16;;9.02;PFS
WASP-18;2455843.52727;1021.43;;8.13;PFS
WASP-18;2455843.53127;996.27;;7.17;PFS
WASP-18;2455843.53527;937.16;;7.17;PFS
WASP-18;2455843.54027;911.14;;6.80;PFS
WASP-18;2455843.54427;842.79;;8.23;PFS
WASP-18;2455843.54927;790.52;;7.32;PFS
WASP-18;2455843.55327;741.25;;6.99;PFS
WASP-18;2455843.55727;721.56;;6.71;PFS
WASP-18;2455843.56227;657.90;;6.79;PFS
WASP-18;2455843.56627;639.64;;6.54;PFS
WASP-18;2455843.57127;638.63;;5.80;PFS
WASP-18;2455843.57527;575.66;;5.38;PFS
WASP-18;2455843.58027;536.16;;5.47;PFS
WASP-18;2455843.58427;466.07;;5.69;PFS
WASP-18;2455843.58827;423.54;;5.72;PFS
WASP-18;2455843.59327;344.71;;6.86;PFS
WASP-18;2455843.59727;273.47;;6.77;PFS
WASP-18;2455843.60227;184.76;;6.39;PFS
WASP-18;2455843.60627;115.84;;6.18;PFS
WASP-18;2455843.61026;41.08;;5.51;PFS
WASP-18;2455843.61526;-16.59;;5.55;PFS
WASP-18;2455843.61926;-82.42;;5.18;PFS
WASP-18;2455843.62326;-133.70;;5.09;PFS
WASP-18;2455843.62826;-207.99;;5.87;PFS
WASP-18;2455843.63226;-257.32;;5.71;PFS
WASP-18;2455843.63726;-284.29;;5.34;PFS
WASP-18;2455843.64126;-342.75;;5.18;PFS
WASP-18;2455843.64626;-367.14;;4.90;PFS
WASP-18;2455843.65026;-390.70;;5.46;PFS
WASP-18;2455843.65426;-433.64;;5.09;PFS
WASP-18;2455843.65926;-481.56;;5.16;PFS
WASP-18;2455843.66326;-518.54;;5.35;PFS
WASP-18;2455843.66826;-559.07;;6.00;PFS
WASP-18;2455843.67226;-608.61;;5.34;PFS
WASP-18;2455843.67626;-669.82;;5.10;PFS
WASP-18;2455843.68126;-705.57;;5.54;PFS
WASP-18;2455843.68526;-750.12;;5.66;PFS
WASP-18;2455843.69026;-806.71;;5.53;PFS
WASP-18;2455843.72826;-1158.40;*;5.86;PFS
WASP-18;2455843.73226;-1206.06;*;6.65;PFS
WASP-18;2455843.83726;-1660.26;*;6.19;PFS
WASP-18;2455843.84226;-1645.65;*;6.15;PFS
WASP-18;2455843.88826;-1557.81;*;6.50;PFS
WASP-18;2455843.89226;-1542.01;*;6.48;PFS
WASP-19;2455338.47873;134.39;;15.22;PFS
WASP-19;2455338.48498;112.20;;12.14;PFS
WASP-19;2455338.49280;96.87;;12.26;PFS
WASP-19;2455338.50068;67.77;;11.30;PFS
WASP-19;2455338.50859;59.13;;11.08;PFS
WASP-19;2455338.51623;45.41;;10.68;PFS
WASP-19;2455338.52418;9.75;;10.71;PFS
WASP-19;2455338.53215;5.64;;11.40;PFS
WASP-19;2455338.53993;8.08;;10.54;PFS
WASP-19;2455338.54787;63.22;;12.16;PFS
WASP-19;2455338.55585;-8.77;;11.21;PFS
WASP-19;2455338.56351;-12.21;;12.81;PFS
WASP-19;2455338.57167;-55.89;;12.14;PFS
WASP-19;2455338.57914;-83.31;;11.68;PFS
WASP-19;2455338.58713;-157.30;;12.05;PFS
WASP-19;2455338.59521;-74.79;;12.62;PFS
WASP-19;2455338.60300;-88.79;;17.25;PFS
WASP-19;2455338.61069;-38.00;;17.42;PFS
WASP-19;2455338.61906;-120.65;;20.82;PFS
WASP-19;2455338.62673;-127.02;;14.74;PFS
WASP-26;2455426.69760;29.80;;3.80;PFS
WASP-26;2455426.70562;19.93;;4.35;PFS
WASP-26;2455426.71348;25.29;;4.24;PFS
WASP-26;2455426.75619;6.13;;3.60;PFS
WASP-26;2455426.76420;9.70;;3.77;PFS
WASP-26;2455426.77193;16.05;;3.67;PFS
WASP-26;2455426.77988;15.89;;3.58;PFS
WASP-26;2455426.78769;5.52;;3.84;PFS
WASP-26;2455426.79556;1.84;;3.81;PFS
WASP-26;2455426.80236;18.93;;4.49;PFS
WASP-26;2455426.80681;23.00;;4.71;PFS
WASP-26;2455426.81121;15.74;;5.90;PFS
